employee-id,month-year,overtime-type,hours,amount,location,job-family,overtime-category
7422,January 2014,Special Holiday Premium,2.0,40.28,Factory A,Manufacturing,Premium Pay
8837,January 2014,Rest Day Pay,8.0,475.6,Factory A,Manufacturing,Premium Pay
6297,January 2014,Rest Day Pay,2.0,329.32,Factory A,Manufacturing,Premium Pay
5031,January 2014,OT Regular,48.0,5601.12,Factory A,Manufacturing,OT
405,January 2014,Rest Day Pay,8.0,472.4,Factory A,Manufacturing,Premium Pay
9606,January 2014,Night Premium,36.0,199.44,Factory A,Engineering and Technical Support,Night Differential
8076,January 2014,OT Rest day,5.12,801.43,Factory A,"Supply Chain, Logistics and Procurement",OT
5836,January 2014,OT Rest day,7.05,855.73,Factory A,"Supply Chain, Logistics and Procurement",OT
6164,January 2014,Night Premium,10.0,51.8,Factory A,Manufacturing,Night Differential
2302,January 2014,OT Regular,31.76,3805.17,Factory A,Engineering and Technical Support,OT
6278,January 2014,OT Rest day,15.95,1546.67,Factory A,"Supply Chain, Logistics and Procurement",OT
8617,January 2014,OT Rest day,16.0,1504.0,Factory A,Engineering and Technical Support,OT
4180,January 2014,Night Premium,44.0,435.6,Factory A,Manufacturing,Night Differential
4042,January 2014,Special Holiday Premium,6.0,202.08,Factory A,Manufacturing,Premium Pay
8381,January 2014,Rest Day Pay,16.0,790.08,Factory A,Manufacturing,Premium Pay
7164,January 2014,Night Premium,33.0,951.72,Factory A,Manufacturing,Night Differential
2858,January 2014,Night Premium,28.0,405.16,Factory A,"Supply Chain, Logistics and Procurement",Night Differential
1154,January 2014,OT Regular,1.5,153.84,Factory A,Finance and Accounting,OT
2179,January 2014,OT Regular,8.0,634.72,Factory A,Engineering and Technical Support,OT
5888,January 2014,Night Premium,16.0,202.24,Factory A,Manufacturing,Night Differential
5128,January 2014,Rest Day Pay,7.77,1566.12,Factory A,Engineering and Technical Support,Premium Pay
778,January 2014,Rest Day Premium Pay,16.0,267.04,Factory A,Manufacturing,Premium Pay
5303,January 2014,OT Regular,4.0,265.96,Factory A,Manufacturing,OT
3025,January 2014,OT Regular,3.67,360.98,Factory A,"Supply Chain, Logistics and Procurement",OT
3884,January 2014,Special Holiday Premium,8.0,161.2,Factory A,Manufacturing,Premium Pay
6145,January 2014,OT Rest day,4.0,539.52,Factory A,Manufacturing,OT
55,January 2014,OT Regular,12.0,1377.12,Factory A,Manufacturing,OT
7490,January 2014,Special Holiday Premium,8.0,149.68,Factory A,Manufacturing,Premium Pay
5885,January 2014,OT Rest day,0.43,69.91,Factory A,Manufacturing,OT
3710,January 2014,OT Regular,19.5,2118.68,Factory A,Manufacturing,OT
8653,January 2014,Night Premium,60.0,1143.0,Factory A,Manufacturing,Night Differential
2373,January 2014,OT Rest day,4.0,376.04,Factory A,Engineering and Technical Support,OT
8996,January 2014,Special Holiday Premium,8.0,183.44,Factory A,Engineering and Technical Support,Premium Pay
9326,January 2014,OT Regular,44.0,6519.04,Factory A,Manufacturing,OT
9174,January 2014,Night Premium,36.0,483.84,Factory A,Engineering and Technical Support,Night Differential
3427,January 2014,Rest Day Pay,8.0,450.0,Factory A,"Supply Chain, Logistics and Procurement",Premium Pay
120,January 2014,Night Premium,60.0,984.6,Factory A,"Supply Chain, Logistics and Procurement",Night Differential
